characteristic,sharpe,mean,std,n_months
High52,2.793255944783899,0.9585041471398559,0.3431494163396512,848.0
VolMkt,0.9515835255074107,0.23924148786018107,0.2514140708064601,841.0
DolVol,0.6834991573613414,0.20387181482975272,0.29827661473176187,847.0
AnnouncementReturn,0.6403406059183079,0.35549908059339175,0.5551718527729051,430.0
zerotrade6M,0.5663756338187304,0.14316164026631506,0.25276800716348297,845.0
hire,0.5294776906041355,0.19246814833538,0.3635056806940691,478.0
dNoa,0.5206704432478756,0.18569219782724142,0.35664055879361467,457.0
zerotrade12M,0.4814104760684619,0.1235615204169109,0.25666562436696766,840.0
InvGrowth,0.4733655268681762,0.15483055425802195,0.32708455827443356,434.0
RIO_Turnover,0.47130589258962197,0.09119231288343559,0.19348859056773782,163.0
GrAdExp,0.4607455823632147,0.10025011267605632,0.21758236326838443,142.0
AssetGrowth,0.4053411412823255,0.15276510468522694,0.37688033393783726,480.0
DivOmit,0.4009174907184139,0.03800219886667444,0.09478807920945868,724.0
zerotrade1M,0.38930613039948164,0.09292426110673924,0.23869200572666596,848.0
FirmAgeMom,0.3882171316640582,0.0506647869637663,0.1305063142025603,200.0
NetDebtFinance,0.37787413024043615,0.152903890441498,0.4046423880465363,408.0
Illiquidity,0.37535565121926723,0.11146655593217067,0.2969625089434354,840.0
XFIN,0.3689812534616737,0.14982547938263746,0.4060517383390587,425.0
Accruals,0.3645776997066832,0.1604959758377042,0.44022433617533213,479.0
LRreversal,0.35632590192967456,0.11772259164465268,0.3303789901523541,670.0
ChInv,0.35297789935041207,0.14094353648797048,0.3992984737779615,480.0
DelCOA,0.3459091351975933,0.14415451364419557,0.4167409847729241,480.0
ChEQ,0.3444691558944884,0.13206022315246363,0.3833731435534215,435.0
MRreversal,0.34376828340318105,0.15356424902255106,0.44670860121917244,698.0
DelEqu,0.3386566237413572,0.13702758342009042,0.4046210049171893,457.0
OrgCap,0.33157885410881843,0.25846860448286324,0.7795087089541551,314.0
DelFINL,0.322215087274835,0.11803562769044762,0.36632557677154487,479.0
RevenueSurprise,0.3055353924746961,0.13662249178591587,0.44715766209386265,285.0
GrLTNOA,0.3048230508990467,0.13893558659484107,0.45579094555042254,480.0
BPEBM,0.3043214986806482,0.24043083204516014,0.7900553627907365,343.0
IndRetBig,0.3038642585979052,0.11358063668324847,0.3737874181298381,724.0
CitationsRD,0.2975017366977217,0.3923627928282828,1.3188588314929575,165.0
PriceDelayRsq,0.2966086517440442,0.08486515882465923,0.28611828524102817,834.0
Beta,0.2907934184040337,0.11320348183973408,0.38929176066305277,828.0
ConvDebt,0.2895075040142679,0.0753556638324412,0.2602891558511292,507.0
MomOffSeason,0.28498132763134687,0.09823808827919361,0.3447176314873332,691.0
ExchSwitch,0.2608355743500606,0.01261537376594642,0.048365234678516875,724.0
RDcap,0.25444279609049975,0.13674392452638898,0.5374250190119438,178.0
BetaFP,0.24730306858732068,0.08484288493541925,0.34307251187812055,803.0
InvestPPEInv,0.24718111213961588,0.083661290011866,0.33846150010285325,470.0
retConglomerate,0.24516256772501177,0.1936013856960409,0.7896857480836764,261.0
OPLeverage,0.21549553206694544,0.08694808690011595,0.40347976622134707,507.0
ChTax,0.20856111939824754,0.07191069422084144,0.34479434339594206,415.0
MomSeason11YrPlus,0.20296399288681433,0.0836803550700253,0.41229162808543485,550.0
DelDRC,0.1974675581619315,0.08080100000000003,0.4091862012783886,30.0
ChNWC,0.19177059164644378,0.08433453323993947,0.43976781067361,479.0
MomSeason16YrPlus,0.18419648226811025,0.29712775052357415,1.61310219861357,444.0
PctAcc,0.17321883547172331,0.06403657721065428,0.36968599307497224,470.0
BM,0.16844671054202467,0.1293515630576399,0.7679079196109847,356.0
PriceDelaySlope,0.1621453797142547,0.05001565653134994,0.308461805199084,834.0
EarningsSurprise,0.16113926956350536,0.07670569833745036,0.47602113715192473,287.0
BetaLiquidityPS,0.1566272922771826,0.06392162551982095,0.40811294500768824,467.0
RIO_Volatility,0.15513850412055347,0.030670378089887637,0.197696750163677,178.0
RDIPO,0.15384615384615388,0.00034171451979972677,0.0022211443786982234,507.0
AbnormalAccruals,0.14942419807850565,0.07285444960216679,0.48756794775562345,408.0
DelNetFin,0.12948362570813857,0.044953140455597694,0.3471723950403113,479.0
Investment,0.12923629421307367,0.05900226787621247,0.45654564946697246,371.0
MomSeasonShort,0.11285429550106352,0.052994653698169095,0.4695847283692421,712.0
NOA,0.10331677671517624,0.02994779489001017,0.2898638134305164,464.0
DebtIssuance,0.0968229246192465,0.04263859631357066,0.4403770747604017,345.0
IndIPO,0.07109444871422106,0.017996980538834938,0.25314185374975684,724.0
MeanRankRevGrowth,0.06995900484939539,0.0326010469169128,0.46600215350539737,359.0
PriceDelayTstat,0.06979327766143449,0.01858103015968152,0.2662295106674549,834.0
cfp,0.0683985523335641,0.05484988347683703,0.8019158535599803,328.0
TotalAccruals,0.06585313550142298,0.024063500759428334,0.36541161747580503,480.0
GrSaleToGrInv,0.06544609943302719,0.02630113926956228,0.4018748175584851,437.0
VolSD,0.04168855506044576,0.013072966187536419,0.31358645480951414,830.0
AgeIPO,0.03933479657223395,0.01911431868131866,0.4859391771918115,91.0
MS,0.029838713229083758,0.005248554761904758,0.17589749000265192,84.0
ShareIss5Y,0.02977883002032179,0.010105878140077863,0.3393645127488678,631.0
IndMom,0.026775380136205888,0.012686788388105937,0.47382290460745907,722.0
ChNNCOA,0.024598998609975126,0.009314759131226685,0.3786641594202726,479.0
MomOffSeason11YrPlus,0.020760091761331017,0.005769914363044739,0.2779329893807177,550.0
IntMom,0.01956793931784057,0.008205679238526074,0.41934304400897005,709.0
FR,0.012634236934995735,0.0071237059622195585,0.5638414095660588,77.0
OrderBacklogChg,0.007199479831411106,0.003701356273291951,0.5141144027021298,230.0
EP,-0.002088595989082518,-0.00062057913559885,0.2971274190138893,314.0
CompositeDebtIssuance,-0.004173243979814189,-0.0013845517791158382,0.3317687117774226,342.0
DelLTI,-0.012418498684406204,-0.004051545089459735,0.3262507966882682,480.0
DelCOL,-0.021479431184203125,-0.008596033726083323,0.40019838758138093,479.0
grcapx,-0.04470109039555716,-0.02195426076183969,0.4911347926318531,312.0
GP,-0.05700021502261546,-0.024890164436081393,0.4366679042562549,490.0
NumEarnIncrease,-0.06078179115206349,-0.03163506936315493,0.5204695150231838,329.0
ResidualMomentum,-0.07081639621904486,-0.023815230736044753,0.3362954344976969,775.0
BMdec,-0.08152711951753536,-0.02874429771323732,0.3525734489742988,478.0
iomom_supp,-0.08733348151330894,-0.10042780418700742,1.1499347380500684,167.0
roaq,-0.08851949884344716,-0.07365961367266434,0.8321286793877632,278.0
Herf,-0.09910049553568448,-0.0555461148940086,0.5605028975259496,474.0
std_turn,-0.1031168110784482,-0.027691260263395794,0.2685426360046094,830.0
NetDebtPrice,-0.1069775897976189,-0.04844209483469879,0.45282469839096157,310.0
DivYieldST,-0.10863041301136002,-0.020092211258186908,0.18495935623558538,431.0
MomOffSeason16YrPlus,-0.11508900766494867,-0.19298744534715617,1.6768538478408666,411.0
ShortInterest,-0.11592149130073862,-0.04560657731213874,0.39342641990189914,173.0
DivSeason,-0.11687679217617405,-0.019431792682847365,0.166258778334341,539.0
DivInit,-0.11743199313327903,-0.015491477292337474,0.13191871209028594,724.0
AdExp,-0.12504492348904228,-0.05572054329794847,0.4456042016198383,229.0
BetaTailRisk,-0.12915946651530516,-0.04463515533703365,0.345581756732825,620.0
tang,-0.13024033352783343,-0.04313457187395139,0.3311921177223734,408.0
sinAlgo,-0.13179038588215855,-0.031140463339731278,0.23628782275192495,521.0
CoskewACX,-0.13547361658343118,-0.0429210283767259,0.316822045939056,507.0
HerfAsset,-0.13670793838979584,-0.0970156233034761,0.7096561066326309,350.0
Spinoff,-0.13738711955440613,-0.009595680275662474,0.06984410406728504,724.0
FirmAge,-0.13911931404827374,-0.06608146284851985,0.47499848098438635,724.0
EBM,-0.13973085132148275,-0.10841938548860525,0.7759158730033188,343.0
EarningsConsistency,-0.13979767113649247,-0.055863045809817186,0.39959925909835003,371.0
MomSeason06YrPlus,-0.14257107880695016,-0.0455779259362072,0.31968563552726187,621.0
PctTotAcc,-0.14313850893019514,-0.056554738108023764,0.3951049827940014,286.0
RoE,-0.14602197460042213,-0.052653170560965364,0.36058388270016684,489.0
EarnSupBig,-0.14650003218987234,-0.09060625098817016,0.6184725670963629,375.0
GrSaleToGrOverhead,-0.15749072048568202,-0.057079139565134496,0.36242858873912975,456.0
CBOperProf,-0.159506497554556,-0.08808267465060822,0.5522199785026393,338.0
PayoutYield,-0.16256234059740907,-0.0565700339690894,0.3479897850953495,285.0
ShareRepurchase,-0.17018059480032882,-0.04214836411443175,0.2476684498833959,507.0
NetEquityFinance,-0.1707030221327087,-0.0679731992926364,0.39819564084689946,407.0
BookLeverage,-0.17464198616571153,-0.05840791825266725,0.33444373563895485,507.0
RDS,-0.17879757118084244,-0.06677935120601372,0.3734913777909803,363.0
ChInvIA,-0.1847943585785784,-0.0947022492045782,0.5124737028393042,338.0
MomOffSeason06YrPlus,-0.18831372032717336,-0.07393969013503594,0.3926410141893764,621.0
OrderBacklog,-0.19034071912270545,-0.0863846684951409,0.45384229340571086,245.0
BidAskSpread,-0.19515609604847398,-0.057032440150223684,0.2922401160149137,848.0
VolumeTrend,-0.19632191122776943,-0.059112484234060944,0.3010997797667098,817.0
grcapx3y,-0.19665635596383235,-0.10450785558117591,0.5314237369495255,296.0
HerfBE,-0.19811291386434046,-0.08488619185572435,0.4284737940599415,350.0
CompEquIss,-0.1981627742382611,-0.09119069196326393,0.46018073936339193,567.0
EquityDuration,-0.21131197229937507,-0.09417151979867905,0.4456516058884826,446.0
MomSeason,-0.2137873076195199,-0.09695950658413496,0.453532567783187,691.0
CashProd,-0.21465502255398494,-0.16679044196140227,0.7770162560228707,368.0
IdioVolAHT,-0.2223477207328069,-0.07837386290629388,0.3524833204855515,842.0
ShareIss1Y,-0.22258000789761329,-0.10043853365556286,0.4512468779395701,698.0
BrandInvest,-0.22657211640362201,-0.07055936208333333,0.3114212075312783,200.0
CustomerMomentum,-0.22877067466038423,-0.05122447634180789,0.22391189962547384,118.0
RD,-0.2476632428290066,-0.20101574968918895,0.8116495100081349,279.0
Coskewness,-0.271528169050344,-0.07794021350862848,0.2870428279364915,835.0
SurpriseRD,-0.2799327485910109,-0.11885093660004148,0.42456960537220245,398.0
PatentsRD,-0.2818091895550263,-0.14861575424972315,0.5273630518734531,172.0
RDAbility,-0.28235895368932956,-0.07478538,0.26485924750338863,75.0
realestate,-0.2845152316460346,-0.22118027762021455,0.7773934503984128,261.0
PS,-0.28461281821174644,-0.13327814936754157,0.46827880137283623,252.0
MomRev,-0.2880637308157968,-0.0729532522932601,0.2532538618681928,506.0
betaVIX,-0.3003710922102163,-0.13630992314635296,0.45380506540541427,312.0
VarCF,-0.30038205537585566,-0.1431981956355841,0.476720207058994,328.0
ChAssetTurnover,-0.3023364448621281,-0.11288538322384886,0.3733766971935091,429.0
Cash,-0.30436186776882856,-0.2568810254719245,0.8439987155915103,264.0
Tax,-0.3137496574614081,-0.09336968596767393,0.2975929494971914,497.0
Mom12mOffSeason,-0.31551255210039064,-0.16078762260371973,0.5096076892451489,719.0
Leverage,-0.31805495582695487,-0.23575339060925166,0.7412347655337863,368.0
MomVol,-0.3209689358413774,-0.16763938805590062,0.5222916280557064,345.0
iomom_cust,-0.33635704393587895,-0.3670709601319214,1.0913134324069562,164.0
ShareVol,-0.34181698019190476,-0.1833660386814268,0.5364450840870469,696.0
OScore,-0.3921067213891807,-0.160312155158427,0.40884827118102657,238.0
OperProfRD,-0.4000429731873282,-0.3141360860528023,0.7852558527648522,339.0
IntanSP,-0.40121471484748444,-0.19462792808022739,0.48509668483672674,277.0
NetPayoutYield,-0.4440787436523448,-0.35692645461459677,0.8037458665079074,269.0
AccrualsBM,-0.4511110510465957,-0.035603410101010105,0.07892382600339487,198.0
SP,-0.45848117042929487,-0.21997714253078599,0.4797953694037473,368.0
Mom6m,-0.46050607645868824,-0.2330898474981113,0.5061601994279474,717.0
Mom12m,-0.481444729953598,-0.2043866516189684,0.4245277576071242,710.0
AM,-0.48982549037321454,-0.36496505736051577,0.7450920063029725,368.0
IntanCFP,-0.5178848447206245,-0.2910768223173079,0.5620493151799619,277.0
CF,-0.5536696145205553,-0.28863882380930356,0.5213196033147809,368.0
EntMult,-0.5621353033564366,-0.20976162584622604,0.3731514896747576,316.0
IntanEP,-0.6945793393441506,-0.37671780423005763,0.542368283781331,277.0
Frontier,-0.7017822360679635,-0.5659165703168912,0.8063991096264874,251.0
IdioVol3F,-0.8060193837466366,-0.2995082739335486,0.37158941828587055,845.0
RealizedVol,-0.8117416231363996,-0.3070602390184748,0.37827336958779845,845.0
TrendFactor,-0.8133534602602718,-0.2408711244429269,0.29614569336909013,325.0
IntanBM,-1.0939684712903424,-0.45268423856877826,0.41380007783481587,247.0
MaxRet,-1.6194125860392645,-0.6033992203127342,0.3726037610887779,848.0
ReturnSkew3F,-2.02366326707165,-0.625563222205033,0.30912416723868125,845.0
ReturnSkew,-2.368099180962363,-0.741190141421912,0.31298948430052764,848.0
AOP,,,,6.0
Activism1,,,,0.0
Activism2,,,,0.0
AnalystRevision,,0.0,0.0,25.0
AnalystValue,,,,6.0
CPVolSpread,,,,0.0
ChForecastAccrual,,,,2.0
ChNAnalyst,,0.0,0.0,24.0
ChangeInRecommendation,,,,0.0
ConsRecomm,,,,0.0
CredRatDG,,0.0,0.0,226.0
DelBreadth,,,,0.0
DownRecomm,,,,1.0
EarningsForecastDisparity,,,,11.0
EarningsStreak,,,,5.0
ExclExp,,0.0,0.0,26.0
FEPS,,0.0,0.0,30.0
ForecastDispersion,,,,9.0
Governance,,,,0.0
IO_ShortInterest,,,,0.0
Mom6mJunk,,,,0.0
OperProf,,,,10.0
OptionVolume1,,,,0.0
OptionVolume2,,,,0.0
PredictedFE,,,,0.0
ProbInformedTrading,,,,0.0
REV6,,0.0,0.0,16.0
RIO_Disp,,,,0.0
RIO_MB,,,,11.0
RIVolSpread,,,,0.0
Recomm_ShortInterest,,,,0.0
SmileSlope,,,,0.0
UpRecomm,,,,1.0
dCPVolSpread,,,,0.0
dVolCall,,,,0.0
dVolPut,,,,0.0
fgr5yrLag,,,,6.0
sfe,,,,0.0
skew1,,,,0.0
